,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
63,Duluth,40,US,67,46.77,-92.13,21.2,6.93
64,Pangoa,12,PE,93,-12.12,-73,64.93,1.81
65,Mayya,40,RU,66,61.74,130.28,-29.21,4.27
66,Torbay,90,CA,100,47.66,-52.73,32,9.17
67,Carutapera,80,BR,88,-1.2,-46.02,80,7.74
68,Hermanus,92,ZA,90,-34.42,19.24,51.79,3.83
69,Ballina,92,IE,96,54.11,-9.15,49.99,21.72
71,Iqaluit,90,CA,92,63.75,-68.52,21.2,11.41
72,Kenora,90,CA,78,49.76,-94.48,14,2.71
73,Saint-Francois,75,FR,86,46.42,3.91,39.2,1.12
74,Nome,1,US,67,30.04,-94.42,49.82,6.93
75,Mandalgovi,8,MN,41,45.76,106.27,9.85,3.49
76,Mut,92,TR,95,36.64,33.44,48.55,1.92
77,Hay River,75,CA,92,60.82,-115.79,24.8,6.93
78,Albany,90,US,81,42.65,-73.75,35.96,10.29
79,Jalu,32,LY,64,29.03,21.55,47.06,2.71
80,Margate,75,AU,63,-43.03,147.26,62.6,6.93
81,Dikson,44,RU,96,73.51,80.55,-4.6,4.83
82,Gazli,76,UZ,80,40.13,63.45,32.66,6.17
83,Vila Velha,75,BR,74,-3.71,-38.6,82.4,13.87
85,Saldanha,0,PT,92,41.42,-6.55,32.35,3.6
86,Tongzi,0,CN,87,28.78,105.09,57.73,3.83
87,Kruisfontein,64,ZA,100,-34,24.73,56.74,21.05
88,Vao,64,EE,79,59.1,26.19,26.23,4.5
89,Cape Town,75,ZA,82,-33.93,18.42,55.4,5.82
90,Naze,0,NG,95,5.43,7.07,71.23,3.49
91,Kavaratti,8,IN,100,10.57,72.64,83.51,6.73
92,Sturovo,0,SK,64,47.79,18.72,35.6,10.29
93,Constantine,40,DZ,70,36.36,6.61,46.4,5.82
96,Kapaa,90,US,79,22.08,-159.32,78.98,6.93
97,Victoria,75,BN,70,5.28,115.24,87.8,2.24
98,Hilo,1,US,58,19.71,-155.08,80.06,6.93
99,Alcudia,20,ES,93,39.85,3.12,48.2,2.24
100,Labuhan,20,ID,80,-2.54,115.51,84.64,2.93
101,Saint-Philippe,90,CA,100,45.36,-73.48,32,3.36
102,New Norfolk,75,AU,63,-42.78,147.06,62.6,6.93
103,Svetlogorsk,75,RU,78,53.14,59.15,12.2,2.24
104,Juneau,90,US,100,58.3,-134.42,42.8,2.59
105,Eyrarbakki,0,IS,44,63.86,-21.15,39.2,8.05
106,Lompoc,20,US,83,34.64,-120.46,60.08,4.7
107,East London,88,ZA,100,-33.02,27.91,62.77,32.57
108,Viedma,80,AR,88,-40.81,-62.99,60.02,5.06
110,Aripuana,48,BR,95,-9.17,-60.63,74.15,2.37
112,Carnarvon,0,ZA,72,-30.97,22.13,41.08,11.88
113,Lochwinnoch,92,GB,93,55.79,-4.63,42.8,8.05
114,Mori,40,JP,51,34.86,137.94,62.6,10.29
115,Jacareacanga,92,BR,100,-6.22,-57.76,71.59,2.37
116,Avarua,75,CK,65,-21.21,-159.78,82.4,10.29
117,Arraial do Cabo,20,BR,88,-22.97,-42.02,71.6,3.36
118,Yellowknife,90,CA,85,62.45,-114.38,24.8,16.11
121,Ancud,0,CL,81,-41.87,-73.83,50,4.7
122,Rantepao,12,ID,84,-2.97,119.9,78.52,2.59
123,Inhambane,0,MZ,97,-23.87,35.38,76.63,12.55
124,Grand Baie,20,MU,83,-20.02,57.58,75.2,8.05
125,Troitskoye,80,RU,77,52.98,84.68,22.85,11.77
126,Cidreira,48,BR,78,-30.17,-50.22,67.54,16.69
128,Tarauaca,24,BR,93,-8.16,-70.77,75.82,2.59
129,Sarangani,20,PH,99,5.4,125.46,83.15,9.75
130,Jamestown,36,AU,82,-33.21,138.6,63.13,11.65
132,Padang,20,ID,78,-0.92,100.36,82.4,1.12
133,Guerrero Negro,0,MX,87,27.97,-114.04,60.79,8.3
134,Samarai,8,PG,100,-10.62,150.67,84.1,7.18
135,Rincon,1,US,48,32.3,-81.24,44.6,11.41
136,Nikolskoye,90,RU,85,59.7,30.79,21.2,8.95
137,Saint-Augustin,0,FR,87,44.83,-0.61,48.2,4.7
138,Phangnga,75,TH,74,8.45,98.53,82.4,3.36
139,Srednekolymsk,64,RU,76,67.46,153.71,-17.2,2.82
140,Yeniseysk,68,RU,66,58.45,92.17,2.51,7.63
141,Port Elizabeth,90,US,53,39.31,-74.98,37.94,14.99
143,Kisaran,36,ID,82,2.98,99.62,84.5,3.6
144,Taseyevo,76,RU,78,57.22,94.9,6.47,5.95
145,Belmonte,8,PT,86,40.36,-7.35,32.17,2.93
146,Isangel,64,VU,100,-19.55,169.27,79.19,3.94
147,Severo-Kurilsk,88,RU,100,50.68,156.12,34.64,13
148,Cherskiy,76,RU,34,68.75,161.3,-22.87,5.5
149,Qaqortoq,8,GL,86,60.72,-46.03,27.8,2.15
151,Kota Kinabalu,75,MY,70,5.98,116.07,87.8,3.36
152,Puerto Ayora,0,EC,100,-0.74,-90.35,72.17,11.21
153,Thompson,90,CA,77,55.74,-97.86,5,2.24
154,Todos Santos,75,MX,69,23.45,-110.23,73.4,5.82
155,Barrow,88,AR,57,-38.31,-60.23,63.8,8.19
156,Caravelas,76,BR,100,-17.73,-39.27,78.07,15.01
157,Shambu,0,ET,96,9.57,37.1,48.95,1.92
159,Chimbote,0,PE,97,-9.08,-78.59,61.42,6.17
160,Vestmanna,48,FO,87,62.16,-7.17,44.6,28.86
161,Lagoa,0,PT,87,37.14,-8.45,48.2,6.93
162,Bathsheba,40,BB,83,13.22,-59.52,78.8,14.99
163,Kindu,92,CD,100,-2.95,25.92,69.56,2.15
164,Botwood,90,CA,100,49.14,-55.34,26.6,6.93
165,Tasiilaq,36,GL,73,65.61,-37.64,26.6,8.05
166,Atasu,8,KZ,72,48.68,71.64,9.89,10.2
168,Coihaique,0,CL,66,-45.58,-72.07,55.4,2.24
169,Hobart,75,AU,63,-42.88,147.33,62.6,6.93
170,Yulara,0,AU,26,-25.24,130.99,78.8,11.41
171,Altay,80,CN,63,47.83,88.13,9.04,2.15
172,Port Blair,0,IN,94,11.67,92.75,85.67,14.34
173,Presidencia Roque Saenz Pena,76,AR,95,-26.79,-60.44,71,4.16
175,Weligama,56,LK,100,5.97,80.42,78.88,5.17
176,Goumenissa,75,GR,93,40.95,22.45,51.8,4.7
177,Qaanaaq,64,GL,100,77.48,-69.36,-2.76,9.42
178,Karoi,92,ZW,95,-16.82,29.68,65.92,2.48
179,Leningradskiy,76,RU,91,69.38,178.42,14.08,23.4
180,Bukan,68,IR,97,36.52,46.21,24.7,2.71
181,Kawalu,80,ID,90,-7.38,108.21,73.7,1.25
182,Castro,0,CL,81,-42.48,-73.76,50,4.7
183,Lorengau,48,PG,97,-2.02,147.27,85,10.87
187,Minab,0,IR,100,27.15,57.07,60.8,2.24
188,Madimba,40,CM,100,4.42,9.93,77,3.36
189,Rocha,92,UY,67,-34.48,-54.34,65.24,11.54
190,Pochutla,40,MX,78,15.74,-96.47,80.6,7.4
191,Okhotsk,0,RU,100,59.36,143.24,-1.99,10.2
193,Saskylakh,20,RU,44,71.97,114.09,-27.73,3.15
195,Sitka,0,US,81,37.17,-99.65,30.77,8.86
198,Bandarbeyla,88,SO,100,9.49,50.81,77.35,14.9
199,Muros,75,ES,81,42.77,-9.06,51.8,18.34
200,College,40,US,86,64.86,-147.8,6.98,2.71
201,Quezon,0,PH,64,16.49,121.26,78.25,2.59
202,Beyneu,32,KZ,90,45.32,55.19,26.81,9.19
203,Dingle,64,PH,74,11,122.67,83.06,11.99
204,Najran,40,SA,77,17.54,44.22,62.6,5.82
205,Dire Dawa,0,ET,83,9.59,41.86,47.65,1.7
206,Sao Filipe,0,CV,97,14.9,-24.5,75.19,13.67
207,Hualmay,20,PE,94,-11.1,-77.61,57.41,4.94
208,Formosa do Rio Preto,68,BR,92,-11.04,-45.19,69.02,2.93
210,Castelu,75,RO,100,44.26,28.34,32,23.04
212,Victoria,75,BN,70,5.28,115.24,87.8,2.24
214,Faanui,36,PF,100,-16.48,-151.75,81.49,11.88
216,Arona,0,IT,36,45.76,8.56,46.4,6.93
217,Kincardine,20,GB,87,56.07,-3.72,44.6,5.82
218,Paamiut,0,GL,98,61.99,-49.67,32.39,1.92
219,Mahebourg,20,MU,83,-20.41,57.7,75.2,8.05
220,Hambantota,40,LK,100,6.12,81.12,77,5.82
221,Cavalcante,88,BR,96,-13.79,-47.46,67.27,3.04
222,Mar del Plata,0,AR,92,-46.43,-67.52,52.69,4.27
223,Metro,56,ID,90,-5.11,105.31,84.28,3.04
224,Tigil,8,RU,86,57.8,158.67,14.75,6.17
225,Ayagoz,68,KZ,86,47.96,80.43,22.27,10.42
227,Biak,24,ID,76,-0.91,122.88,87.43,1.59
228,Kuala Terengganu,75,MY,94,5.33,103.14,78.8,3.36
229,Haines Junction,76,CA,90,60.75,-137.51,17.23,2.37
231,Fairbanks,40,US,86,64.84,-147.72,6.98,2.71
232,Ilulissat,0,GL,65,69.22,-51.1,8.6,4.7
233,Cockburn Town,0,TC,100,21.46,-71.14,80.09,8.08
234,Kahului,20,US,54,20.89,-156.47,84.02,20.8
235,Georgetown,75,GY,100,6.8,-58.16,77,11.41
236,Colares,20,PT,100,38.8,-9.45,44.6,1.12
237,Novyye Lyady,68,RU,92,58.05,56.6,15.8,6.71
238,Vestmannaeyjar,12,IS,99,63.44,-20.27,38.15,18.7
239,Grand Gaube,20,MU,83,-20.01,57.66,75.2,8.05
240,Saravena,0,CO,87,6.96,-71.88,68.53,2.48
241,Lashio,0,MM,77,22.93,97.75,66.14,2.59
243,Riyadh,0,SA,82,24.63,46.72,55.4,2.82
244,Ponta do Sol,12,BR,60,-20.63,-46,70.55,11.54
245,Aasiaat,8,GL,100,68.71,-52.87,20.47,9.19
246,Sobolevo,80,RU,86,54.43,31.9,21.41,9.98
247,Bonavista,0,CA,100,48.65,-53.11,31.67,7.63
248,Alta Floresta,64,BR,99,-9.87,-56.08,71.81,2.15
249,Shimoda,75,JP,52,34.7,138.93,69.8,12.75
250,Codrington,0,AU,43,-28.95,153.24,91.4,20.8
251,Tiksi,36,RU,33,71.64,128.87,-22.6,6.17
252,Lubango,0,AO,72,-14.92,13.49,57.37,1.03
253,Gibara,20,CU,78,21.11,-76.13,77,4.7
254,Luanda,40,AO,83,-8.83,13.24,77,4.7
255,Kurten,1,US,46,30.79,-96.26,53.24,4.7
256,Porto Novo,0,BR,82,-23.68,-45.44,66.2,6.93
257,Sorland,75,NO,93,67.67,12.69,35.6,5.82
258,Tomatlan,80,MX,94,19.93,-105.25,69.88,2.15
259,Talnakh,44,RU,77,69.49,88.39,-17.65,3.71
260,Puerto Quijarro,44,BO,96,-19,-57.72,71.5,2.37
261,Dzilam Gonzalez,36,MX,84,21.28,-88.93,70.42,6.17
262,Kudahuvadhoo,92,MV,100,2.67,72.89,77.8,7.63
263,Ouango,0,CD,83,4.31,22.55,72.44,3.71
264,Puerto del Rosario,0,ES,72,28.5,-13.86,68,13.87
266,Santa Lucia,20,IT,54,39.93,9.66,53.6,11.41
267,Lasa,12,CY,82,34.92,32.53,66.2,9.17
268,Swinoujscie,90,PL,100,53.91,14.25,30.2,1.12
269,Esperance,20,TT,88,10.24,-61.45,78.8,3.36
270,Dukat,92,RS,92,42.44,22.31,37.75,1.48
272,Iberia,56,PE,84,-11.41,-69.49,78.34,1.36
273,Tres Rios,1,US,27,34.56,-111.85,51.98,3.36
274,Aklavik,75,CA,84,68.22,-135.01,3.2,3.36
275,Krzeszowice,75,PL,86,50.13,19.63,28.4,2.24
276,Roald,0,NO,69,62.58,6.12,33.8,16.11
277,Longyearbyen,0,NO,78,78.22,15.63,8.6,8.05
279,Sambava,0,MG,100,-14.27,50.17,77.08,8.75
280,Kaifeng,68,CN,61,34.8,114.35,46.4,2.24
281,Tamayo,64,DO,87,18.4,-71.2,70.19,1.7
282,Kambove,48,CD,93,-10.88,26.6,60.29,2.59
283,Vila Franca do Campo,75,PT,93,37.72,-25.43,66.2,21.92
284,Chicama,75,PE,82,-7.84,-79.15,68,8.05
285,Abalak,44,NE,38,15.46,6.28,60.43,8.97
287,Trojan,90,US,49,44.34,-103.84,48.2,3.36
288,San Vicente,20,SV,94,13.64,-88.78,77,1.48
289,Kilifi,20,KE,94,-3.63,39.85,77,4.7
290,Penaranda,20,PH,65,15.35,121,82.4,9.17
291,Zhigalovo,44,RU,71,54.81,105.15,5.3,3.04
292,Bambous Virieux,20,MU,83,-20.34,57.76,75.2,8.05
293,Timon,75,BR,78,-5.1,-42.84,78.8,11.41
294,Clyde River,90,CA,91,70.47,-68.59,3.2,3.6
296,Kill,75,IE,87,53.25,-6.59,48.2,18.34
297,Senanga,48,ZM,93,-16.1,23.3,66.37,6.4
298,Deputatskiy,8,RU,0,69.3,139.9,-35.34,3.04
299,Ulladulla,90,AU,100,-35.36,150.48,59,28.86
300,Baykit,0,RU,43,61.68,96.39,-28.41,2.71
301,Joshimath,88,IN,98,30.57,79.57,19.7,0.36
302,Tura,0,IN,86,25.52,90.21,69.29,3.27
303,Kaitangata,0,NZ,81,-46.28,169.85,59.57,20.27
304,Necochea,68,AR,66,-38.55,-58.74,63.89,8.63
305,Susanville,1,US,70,40.42,-120.65,44.6,8.05
306,Broken Hill,0,AU,48,-31.97,141.45,66.2,21.92
307,Mindelo,75,PT,71,41.31,-8.72,55.4,10.29
309,Potamia,12,GR,100,41.03,25.04,59.44,6.4
310,Pokhara,8,NP,71,28.21,83.99,55.79,1.81
311,Illapel,0,CL,86,-31.63,-71.17,56.69,3.04
312,Panaba,32,MX,88,21.28,-88.27,69.97,7.96
313,La Rochelle,90,FR,87,46.16,-1.15,53.6,11.41
314,Vilyuysk,64,RU,39,63.75,121.63,-25.44,3.49
315,Hamilton,90,BM,88,32.3,-64.78,71.6,12.75
316,Bonthe,56,SL,90,7.53,-12.5,79.01,5.17
317,Lahaina,20,US,73,20.87,-156.68,84.02,17.22
318,Ugoofaaru,44,MV,99,5.67,73,83.96,17.47
321,Umarkot,0,PK,86,25.37,69.74,60.92,2.82
322,Axim,8,GH,100,4.87,-2.24,81.89,3.38
323,Garmsar,0,IR,81,35.22,52.34,29.47,1.92
324,Aksaray,75,TR,81,38.37,34.03,48.2,10.29
325,Namatanai,12,PG,93,-3.66,152.44,86.39,10.42
326,Hami,24,CN,60,42.84,93.51,25.1,1.25
327,Ust-Nera,20,RU,0,64.57,143.24,-33.49,2.04
328,Valdivia,0,CL,100,-39.81,-73.25,51.8,1.12
329,Resistencia,75,AR,94,-27.45,-58.99,71.6,3.36
330,Souillac,90,FR,93,45.6,-0.6,48.2,3.36
331,Tiarei,40,PF,62,-17.53,-149.33,86,10.29
332,Hithadhoo,0,MV,100,-0.6,73.08,84.14,0.58
333,Hasaki,20,JP,76,35.73,140.83,57.2,4.7
334,Gigmoto,68,PH,100,13.78,124.39,80,7.4
335,Assiniboia,76,CA,87,49.63,-105.99,36.58,11.43
336,Kununurra,44,AU,94,-15.77,128.74,78.8,3.36
337,Lavrentiya,92,RU,100,65.58,-170.99,25.64,16.58
338,Lata,92,IN,77,30.78,78.62,46.7,1.59
339,San Javier,0,ES,71,37.81,-0.83,55.4,8.05
340,Calella,0,ES,100,41.62,2.67,46.4,1.12
343,Mangan,0,IN,25,27.5,88.54,37.39,1.81
344,Chippewa Falls,75,US,78,44.94,-91.39,19.4,4.61
345,Las Palmas,40,PE,290,-6.53,-76.35,62.6,3.36
347,Mogadishu,68,SO,100,2.04,45.34,80.36,11.32
348,Killybegs,92,IE,100,54.63,-8.45,48.14,30.67
349,Atambua,24,ID,96,-9.11,124.89,83.74,6.17
350,Muisne,90,EC,83,0.61,-80.02,77,6.93
351,Sistranda,20,NO,86,63.73,8.83,30.2,14.99
352,Cabedelo,75,BR,100,-6.97,-34.84,75.2,4.7
353,Burnie,12,AU,100,-41.05,145.91,60.29,10.31
354,Port Hardy,90,CA,93,50.7,-127.42,48.2,9.17
355,Balkanabat,8,TM,75,39.51,54.36,24.34,1.36
356,Abu Dhabi,40,AE,56,24.47,54.37,73.4,10.29
357,Charters Towers,24,AU,62,-20.07,146.27,91.03,10.2
358,Narsaq,0,GL,49,60.91,-46.05,0.67,4.5
359,Aksu,75,KZ,85,52.04,76.93,24.8,11.18
360,Smithers,75,CA,93,54.78,-127.17,37.4,3.36
361,Ixtapa,90,MX,78,20.71,-105.21,78.8,5.82
362,Mehamn,88,NO,100,71.03,27.85,32.84,12.21
363,Araouane,48,ML,21,18.9,-3.53,63.58,9.86
364,Baruun-Urt,32,MN,44,46.68,113.28,9.35,4.94
365,Grindavik,0,IS,64,63.84,-22.43,39.2,12.75
366,Khani,75,GE,87,41.96,42.96,51.8,6.93
367,Mercedes,92,UY,95,-33.25,-58.03,63.8,16.58
368,Laje,80,BR,94,-13.18,-39.42,68.3,7.4
369,Mayo,90,CA,92,63.59,-135.9,26.6,2.24
370,Hovd,0,NO,85,63.83,10.7,30.2,5.82
371,Nexo,12,DK,74,55.06,15.13,30.2,6.93
372,Palmer,1,US,100,61.6,-149.11,37.04,4.16
373,Iskateley,68,RU,74,67.68,53.15,0.62,3.15
374,Landau,75,DE,88,51.34,9.08,32,2.24
375,Simoes,76,BR,58,-7.6,-40.82,78.07,12.55
376,Jinchang,44,CN,55,38.52,102.19,29.24,4.38
377,Chervona Sloboda,36,UA,78,50.74,33.96,10.93,9.19
378,Mildura,8,AU,40,-34.18,142.16,71.6,12.75
379,Puerto Carreno,40,CO,74,6.19,-67.49,84.2,3.6
380,Jaltenango,0,MX,66,15.87,-92.72,74.06,2.48
381,Danielskuil,36,ZA,42,-28.19,23.54,51.47,13.11
382,Saint-Pierre,75,FR,93,48.95,4.24,41,17.22
383,Mufumbwe,20,ZM,95,-13.68,24.8,61.87,2.93
385,Toowoomba,0,AU,40,-27.56,151.95,87.8,27.51
386,Gravdal,8,NO,64,59.79,5.78,37.4,17.22
387,Misratah,24,LY,92,32.38,15.09,63.22,24.29
388,Pangnirtung,88,CA,99,66.15,-65.72,17.27,0.69
389,Kariba,92,ZW,91,-16.53,28.78,72.35,2.37
390,Mount Pleasant,1,US,58,33.16,-94.97,51.8,8.3
391,Dire,0,ET,76,9.18,38.92,50,5.82
392,Salym,64,RU,71,60.06,71.48,1.16,2.82
393,Sao Joao da Barra,32,BR,100,-21.64,-41.05,75.95,4.27
394,Patos,44,BR,76,-7.03,-37.28,71.77,11.88
395,Zhanakorgan,76,KZ,99,43.91,67.25,31.76,7.4
396,San Pedro,92,AR,99,-33.68,-59.66,62.05,7.52
397,Aquiraz,75,BR,74,-3.9,-38.39,82.4,13.87
399,Katsuura,75,JP,82,33.93,134.5,57.2,2.24
400,Pevek,76,RU,98,69.7,170.27,-0.1,17.25
401,Aykhal,44,RU,31,65.95,111.51,-22.02,2.71
403,Destin,1,US,49,30.39,-86.5,46.94,8.05
404,Vuktyl,80,RU,66,63.86,57.31,2.47,3.38
405,Tabou,48,CI,100,4.42,-7.36,78.07,0.47
406,Flin Flon,80,CA,79,54.77,-101.88,10.07,10.42
407,Rio Viejo,0,EC,69,-2.26,-79.51,78.8,13.87
408,Praya,75,ID,79,-8.71,116.27,84.2,3.36
409,Callaway,1,US,85,46.98,-95.91,14,3.94
410,Aljezur,0,PT,100,37.31,-8.8,52.6,2.15
411,Mount Isa,0,AU,17,-20.73,139.49,93.2,11.41
412,Ust-Maya,8,RU,0,60.42,134.54,-33.81,3.6
413,Kailua,20,US,69,21.39,-157.74,84.02,9.17
414,Donji Milanovac,92,RS,100,44.46,22.15,34.82,2.71
415,Ochando,20,ES,85,41.05,-4.44,29.24,2.37
416,Vanimo,12,PG,100,-2.67,141.3,84.19,13.44
417,Paltinis,90,RO,92,48.22,26.65,23,16.11
418,Brisbane,20,AU,70,-27.47,153.02,96.8,23.04
419,Port Lincoln,76,AU,92,-34.72,135.86,61.46,10.2
420,Praxedis Guerrero,5,MX,28,31.37,-106.02,55.4,2.71
421,Dubbo,75,AU,93,-32.25,148.6,60.8,19.46
422,Henties Bay,0,NA,100,-22.12,14.28,57.77,3.38
424,Silver City,1,US,34,32.77,-108.28,46.4,3.36
425,Pitimbu,75,BR,100,-7.47,-34.81,75.2,4.7
426,Belaya Gora,36,RU,31,68.54,146.19,-20.8,3.83
427,Adrar,0,DZ,53,27.87,-0.29,51.8,14.99
428,Guanica,1,PR,100,17.97,-66.91,73.4,4.38
429,Villa Carlos Paz,75,AR,93,-31.42,-64.5,62.6,2.24
430,Moron,80,VE,91,10.49,-68.2,68.3,2.26
431,Rio Grande,92,BR,85,-32.03,-52.1,69.47,20.94
432,San Roque,75,EC,100,0.3,-78.23,55.4,2.24
434,Zaraza,56,VE,81,9.35,-65.33,78.65,5.17
436,Bubaque,8,GW,100,11.28,-15.83,80.23,10.87
437,Mangrol,40,IN,87,25.33,76.51,57.2,3.6
438,Dunedin,56,NZ,87,-45.87,170.5,55.75,11.43
439,Ati,0,TD,32,13.21,18.34,61.1,6.51
440,Arawa,8,NG,96,7.05,3.9,74.02,2.59
442,Luwuk,24,ID,76,-0.95,122.79,87.43,1.59
443,Radzyn Podlaski,75,PL,92,51.78,22.62,26.6,4.7
444,Esperanza,8,PH,100,6.72,124.52,80.23,1.92
445,Uaua,64,BR,65,-9.84,-39.48,75.32,11.32
446,Gilgit,88,PK,94,35.92,74.31,24.74,0.92
447,Lappeenranta,90,FI,79,61.06,28.19,21.2,5.82
449,Wajir,0,KE,93,1.75,40.07,69.88,2.93
450,Kutum,0,SD,45,14.2,24.66,49.09,6.17
451,San Ignacio,0,CL,48,-36.8,-72.03,64.4,5.82
452,Suntar,76,RU,34,62.16,117.65,-22.92,3.6
453,Casambalangan,24,PH,100,18.38,122.13,79.78,10.31
454,Lere,0,TD,37,9.66,14.23,67.04,8.52
455,Ahipara,0,NZ,76,-35.17,173.16,66.28,16.35
456,Taoudenni,36,ML,49,22.68,-3.98,62.9,12.33
457,Wichita,1,US,75,37.69,-97.34,33.98,5.82
458,Kingston,90,CA,100,44.23,-76.48,32,4.7
459,Pontes e Lacerda,76,BR,92,-15.23,-59.33,75.19,2.71
460,Mount Gambier,75,AU,93,-37.83,140.78,57.2,14.99
462,Kysyl-Syr,48,RU,42,63.9,122.77,-27.06,3.71
463,Saint-Louis,40,CH,100,47.59,7.56,37.4,2.24
465,Piacabucu,100,BR,76,-10.41,-36.43,78.43,7.63
466,Verkhnyaya Inta,32,RU,69,65.99,60.32,-5.41,2.48
467,Matagami,0,NG,48,9.67,8.4,63.22,7.18
468,Toyooka,75,JP,100,35.55,134.82,57.2,1.12
469,Vraca,90,BA,100,43.84,18.4,33.8,8.05
471,Roswell,1,US,30,33.39,-104.52,51.8,6.93
472,Salta,75,AR,78,-24.79,-65.41,73.4,8.05
473,Krasnouralsk,32,RU,77,58.36,60.04,17.45,7.52
474,Nisia Floresta,75,BR,88,-6.09,-35.21,77,6.93
475,Bollnas,0,SE,77,61.35,16.39,14.75,6.51
476,Sabha,88,LY,52,27.03,14.43,50.62,8.41
478,Dasoguz,90,TM,93,41.84,59.97,37.4,9.17
479,Norsup,68,VU,80,-16.07,167.38,85.94,3.94
480,Ambon,90,FR,100,47.55,-2.56,55.4,12.75
481,Ipixuna,0,BR,88,-1.76,-48.8,77,3.36
482,Zlobin,40,HR,36,45.29,14.65,44.6,23.04
484,San Cristobal,75,EC,100,-0.39,-78.55,55.4,2.24
485,Dourbali,0,TD,37,11.81,15.86,62.68,5.28
486,Wasilla,1,US,100,61.58,-149.44,37.04,4.16
487,Bafq,8,IR,73,31.6,55.4,27.58,2.82
488,Praia,0,BR,68,-20.25,-43.81,68,6.93
489,Mecca,12,SA,84,21.43,39.83,62.72,3.04
490,San Policarpo,92,PH,95,12.18,125.51,81.4,9.31
491,Russell,48,AR,95,-33.01,-68.8,55.07,2.48
492,Huntsville,20,US,63,34.73,-86.59,32,5.61
493,Bahia Blanca,92,AR,64,-38.72,-62.27,70.01,8.19
494,Mathathane,32,BW,80,-22.27,28.75,71.95,2.93
